Page_total_likes,Type,Category,Month,Weekday,Hour,Paid,Reach,Consumers,Num_Comments,Num_Likes,Num_Shares
106928,Photo,3,4,4,13,0.0,4406,433,1,75.0,15.0
106928,Photo,1,4,4,3,1.0,5290,570,1,89.0,14.0
104070,Photo,1,3,5,14,1.0,3696,474,2,63.0,16.0
104070,Photo,1,3,4,14,1.0,6030,659,3,176.0,29.0
104070,Photo,1,3,4,7,0.0,49632,1480,7,227.0,15.0
104070,Status,1,3,3,15,0.0,9120,937,3,25.0,6.0
104070,Photo,1,3,3,10,0.0,1874,25,0,0.0,0.0
102112,Photo,1,3,3,10,0.0,4122,455,1,27.0,11.0
102112,Photo,1,3,3,4,0.0,5080,505,0,39.0,14.0
102112,Photo,1,3,2,12,0.0,4068,513,0,61.0,13.0
102112,Photo,1,3,2,3,0.0,3272,446,0,32.0,7.0
102112,Photo,1,3,1,19,0.0,238,142,0,2.0,0.0
102112,Photo,1,3,1,18,0.0,3358,507,8,109.0,3.0
102112,Photo,1,3,1,18,0.0,6400,726,0,32.0,6.0
102112,Link,3,3,1,3,0.0,6876,245,2,68.0,15.0
100732,Photo,1,3,7,18,0.0,391,130,0,6.0,1.0
100732,Photo,1,3,7,17,0.0,10844,1339,4,213.0,13.0
100732,Photo,1,3,7,15,0.0,5132,398,0,2.0,0.0
100732,Photo,1,3,7,15,0.0,3772,144,0,3.0,0.0
100732,Link,1,3,7,14,0.0,2933,23,0,6.0,0.0
100732,Photo,1,3,7,12,0.0,4094,203,0,4.0,0.0
100732,Photo,1,3,6,17,0.0,452,184,0,4.0,1.0
100732,Photo,1,3,6,17,0.0,11420,1342,12,211.0,14.0
100732,Photo,1,3,6,15,0.0,5704,450,1,15.0,1.0
100732,Photo,1,3,6,15,0.0,7192,554,11,95.0,4.0
100732,Photo,1,3,6,13,1.0,9604,1037,16,127.0,0.0
100732,Photo,1,3,6,10,0.0,122944,1268,0,136.0,13.0
98195,Link,2,3,6,6,0.0,5730,71,2,32.0,15.0
98195,Photo,1,3,6,3,0.0,4898,528,1,76.0,9.0
98195,Photo,1,3,5,10,0.0,4118,526,1,28.0,7.0
98195,Photo,1,3,5,4,1.0,1845,9,0,0.0,0.0
98195,Photo,3,3,4,13,0.0,34480,1156,10,664.0,97.0
96749,Photo,3,3,2,9,0.0,5338,556,1,62.0,10.0
96749,Photo,2,3,2,5,0.0,5312,582,0,48.0,20.0
96749,Photo,1,3,1,13,1.0,4412,678,1,55.0,7.0
96749,Photo,1,3,1,2,1.0,98816,11328,10,197.0,21.0
96749,Photo,1,3,7,10,1.0,7220,2300,6,88.0,24.0
96749,Photo,1,3,7,5,1.0,14320,1819,2,59.0,6.0
93684,Photo,1,2,6,13,1.0,27056,2127,6,234.0,26.0
93577,Photo,1,2,6,6,0.0,20528,1800,3,148.0,21.0
93470,Photo,1,2,5,12,0.0,6416,1313,0,96.0,29.0
93363,Photo,1,2,5,6,0.0,5786,1218,4,49.0,15.0
93256,Photo,3,2,4,12,0.0,5878,1087,3,98.0,27.0
93149,Photo,3,2,4,3,0.0,9528,1288,14,198.0,70.0
93042,Photo,3,2,3,13,0.0,8500,1029,5,159.0,53.0
92935,Photo,1,2,3,9,1.0,3796,940,1,22.0,6.0
92828,Photo,1,2,3,6,0.0,28128,2190,6,154.0,18.0
92721,Photo,3,2,2,13,0.0,7228,1189,5,128.0,32.0
92614,Photo,2,2,2,3,1.0,5290,994,2,129.0,32.0
92507,Photo,3,2,1,13,0.0,55520,3586,146,1546.0,181.0
92400,Photo,1,2,1,4,0.0,5880,1264,5,79.0,11.0
92293,Photo,3,2,7,13,1.0,10040,1346,19,214.0,78.0
92186,Photo,3,2,7,2,1.0,153536,1633,8,134.0,34.0
92079,Photo,1,2,6,13,0.0,158208,2319,9,268.0,36.0
91972,Photo,3,2,6,3,0.0,6484,1115,4,128.0,38.0
91865,Photo,2,2,5,13,1.0,4840,923,3,47.0,21.0
91758,Photo,2,2,5,3,1.0,15880,1071,1,200.0,37.0
91651,Photo,1,2,4,12,0.0,15288,1401,5,264.0,36.0
91544,Photo,3,2,4,3,0.0,9528,1175,10,193.0,61.0
91437,Link,1,2,3,13,0.0,9356,381,4,114.0,13.0
91330,Photo,3,2,3,3,0.0,7732,1002,7,160.0,57.0
91223,Photo,1,2,2,13,0.0,5240,837,0,46.0,15.0
91116,Photo,3,2,2,4,1.0,7132,944,4,136.0,42.0
91009,Photo,1,2,1,12,0.0,21928,1479,0,73.0,13.0
86909,Photo,3,1,6,16,1.0,5754,1143,0,65.0,19.0
86909,Photo,1,1,6,10,1.0,37088,2288,7,579.0,47.0
86909,Link,1,1,6,4,0.0,39600,496,1,101.0,5.0
86909,Photo,3,1,5,13,0.0,5536,1099,1,74.0,31.0
86909,Photo,3,1,5,4,0.0,6056,1078,7,84.0,36.0
86909,Photo,2,1,4,11,0.0,11484,1635,56,360.0,99.0
86491,Link,1,1,4,4,1.0,4938,63,0,5.0,2.0
86491,Photo,3,1,3,10,0.0,66784,2833,3,187.0,36.0
86491,Photo,2,1,3,3,0.0,5526,1058,2,69.0,26.0
86491,Photo,3,1,2,7,0.0,5040,1023,2,82.0,24.0
86491,Link,1,1,2,2,0.0,5168,59,0,12.0,2.0
85979,Photo,3,1,1,12,0.0,5034,993,2,56.0,25.0
85979,Photo,3,1,1,2,0.0,4908,937,1,44.0,21.0
85979,Photo,3,1,7,10,0.0,9700,1271,21,277.0,80.0
85979,Photo,3,1,7,2,0.0,4800,938,1,74.0,28.0
85979,Photo,3,1,6,11,0.0,5280,911,1,79.0,30.0
85979,Photo,3,1,6,3,1.0,6184,901,1,105.0,46.0
85979,Link,1,1,5,11,0.0,45920,655,0,128.0,9.0
85093,Photo,3,1,1,2,0.0,8412,1111,17,185.0,55.0
85093,Photo,3,1,7,10,0.0,5400,756,10,125.0,41.0
85093,Photo,3,1,7,2,0.0,4684,708,5,53.0,26.0
81370,Photo,2,1,5,8,0.0,3480,508,0,53.0,22.0
81370,Photo,1,1,5,2,0.0,3778,572,4,93.0,18.0
81370,Photo,3,1,4,11,0.0,4156,574,7,91.0,38.0
