workclass,education,marital-status,occupation,relationship,race,sex,income
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Self-emp-inc, Doctorate, Never-married, Prof-specialty, Own-child, White, Male,0
 Private, Some-college, Never-married, Other-service, Own-child, White, Female,0
 Private, HS-grad, Divorced, Handlers-cleaners, Other-relative, White, Male,0
 Private, Some-college, Never-married, Sales, Other-relative, White, Female,0
 State-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,1
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,1
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,1
 Private, Some-college, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,1
 Private, 1st-4th, Married-spouse-absent, Farming-fishing, Unmarried, White, Male,0
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0
 Unknown, Bachelors, Married-civ-spouse, Unknown, Husband, White, Male,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Unknown, HS-grad, Married-civ-spouse, Unknown, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0
 State-gov, 10th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,1
 Private, HS-grad, Never-married, Sales, Own-child, White, Female,0
 Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0
 Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,1
 Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0
 Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0
 Private, Assoc-voc, Divorced, Tech-support, Own-child, White, Male,0
 Federal-gov, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,0
 Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0
 Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0
 Private, 12th, Never-married, Machine-op-inspct, Own-child, White, Male,0
 Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0
 Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0
 Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0
 Private, Bachelors, Widowed, Other-service, Not-in-family, White, Female,0
 Private, 9th, Never-married, Sales, Not-in-family, White, Male,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 State-gov, Some-college, Never-married, Tech-support, Own-child, White, Female,0
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,1
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0
 Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,1
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0
 Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0
 State-gov, 12th, Never-married, Adm-clerical, Not-in-family, Black, Female,0
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,1
 Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0
 Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0
 Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0
 Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0
 Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Self-emp-not-inc, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0
 Private, Assoc-voc, Never-married, Other-service, Other-relative, Black, Male,0
 State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0
 Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,1
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female,0
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Local-gov, 10th, Never-married, Other-service, Not-in-family, White, Male,0
 State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0
 Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0
 Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0
 Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Wife, White, Female,1
 Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0
 Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0
 Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Unknown, 7th-8th, Widowed, Unknown, Other-relative, White, Female,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,1
 State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0
 State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0
 Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,1
 Private, Some-college, Married-civ-spouse, Sales, Other-relative, White, Male,0
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0
 Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0
 Private, 10th, Never-married, Handlers-cleaners, Other-relative, Other, Male,0
 Private, Masters, Divorced, Sales, Own-child, White, Female,0
 Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,1
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0
 Private, Some-college, Never-married, Sales, Own-child, White, Male,0
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, 10th, Never-married, Handlers-cleaners, Unmarried, White, Male,0
 Self-emp-inc, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Self-emp-not-inc, Masters, Divorced, Prof-specialty, Unmarried, White, Male,1
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0
 State-gov, Some-college, Never-married, Other-service, Own-child, White, Female,0
 Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0
 Unknown, Bachelors, Married-civ-spouse, Unknown, Husband, White, Male,0
 Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,0
 Unknown, Masters, Married-civ-spouse, Unknown, Husband, White, Male,1
 Unknown, 10th, Never-married, Unknown, Unmarried, White, Female,0
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,1
 Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Local-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,1
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Unknown, 10th, Widowed, Unknown, Other-relative, Asian-Pac-Islander, Female,0
 Unknown, HS-grad, Never-married, Unknown, Not-in-family, White, Female,0
 Private, HS-grad, Never-married, Sales, Own-child, White, Female,0
 Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0
 State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0
 Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0
 Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0
 Unknown, HS-grad, Never-married, Unknown, Not-in-family, Other, Male,0
 Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0
 Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0
 Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0
 Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0
 Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,1
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Self-emp-not-inc, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0
 Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,1
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Unknown, Some-college, Never-married, Unknown, Own-child, Black, Male,0
 Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,1
 Private, Some-college, Never-married, Sales, Own-child, White, Female,0
 Private, 11th, Never-married, Exec-managerial, Unmarried, White, Female,0
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,1
 Unknown, Bachelors, Never-married, Unknown, Not-in-family, White, Male,0
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Local-gov, Masters, Widowed, Prof-specialty, Not-in-family, White, Female,0
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, 11th, Separated, Machine-op-inspct, Other-relative, White, Male,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, Assoc-voc, Never-married, Tech-support, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0
 Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0
 Private, HS-grad, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0
 Unknown, Bachelors, Married-civ-spouse, Unknown, Husband, White, Male,1
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,1
 Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0
 Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0
 Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0
 Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,1
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,1
 Private, 7th-8th, Widowed, Farming-fishing, Other-relative, White, Female,0
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0
 Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0
 Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,1
 Unknown, Assoc-voc, Married-civ-spouse, Unknown, Own-child, White, Female,1
 Federal-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0
 State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,1
 Unknown, Bachelors, Never-married, Unknown, Own-child, White, Male,0
 Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0
 Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0
 Private, 11th, Divorced, Handlers-cleaners, Not-in-family, White, Male,0
 Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0
 Private, HS-grad, Never-married, Tech-support, Other-relative, White, Male,0
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0
 Private, HS-grad, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Female,0
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,1
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, 10th, Never-married, Other-service, Unmarried, Black, Female,0
 Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0
 Federal-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,1
 Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,1
 Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0
 Private, 12th, Separated, Prof-specialty, Own-child, White, Female,0
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,1
 Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Private, Some-college, Never-married, Sales, Other-relative, White, Female,0
 Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Black, Female,1
 Unknown, Some-college, Married-civ-spouse, Unknown, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1
 Local-gov, Some-college, Divorced, Exec-managerial, Unmarried, Black, Female,0
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0
 Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0
 Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0
 Private, 5th-6th, Married-civ-spouse, Other-service, Husband, Other, Male,0
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,1
 Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Without-pay, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0
 State-gov, 11th, Divorced, Other-service, Unmarried, White, Female,0
 Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, 10th, Divorced, Other-service, Not-in-family, White, Female,0
 Private, HS-grad, Separated, Handlers-cleaners, Unmarried, White, Female,0
 Federal-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0
 Private, 12th, Never-married, Other-service, Own-child, White, Male,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,1
 Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0
 Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male,0
 Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,1
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0
 Private, Some-college, Never-married, Sales, Own-child, White, Female,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0
 Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,1
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, 7th-8th, Divorced, Sales, Unmarried, White, Female,0
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, 10th, Divorced, Craft-repair, Not-in-family, White, Male,0
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0
 Private, Bachelors, Separated, Other-service, Not-in-family, White, Female,0
 State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0
 Private, 11th, Married-civ-spouse, Other-service, Wife, White, Female,0
 Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0
 Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,0
 Unknown, Some-college, Never-married, Unknown, Own-child, White, Male,0
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Female,0
 Private, Some-college, Never-married, Other-service, Own-child, White, Male,0
 Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0
 Federal-gov, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,0
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0
 Private, Bachelors, Separated, Sales, Not-in-family, White, Male,0
 Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,1
 Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,0
 Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0
 Private, 10th, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male,0
 Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0
 Private, Masters, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,1
 Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0
 Unknown, Bachelors, Married-civ-spouse, Unknown, Husband, White, Male,1
 Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0
 Local-gov, Some-college, Never-married, Adm-clerical, Own-child, Black, Male,0
 Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0
 Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0
 Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,1
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, 9th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0
 Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Private, Assoc-voc, Never-married, Craft-repair, Own-child, White, Male,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 State-gov, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0
 Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0
 Private, Some-college, Divorced, Sales, Unmarried, White, Female,0
 Unknown, HS-grad, Never-married, Unknown, Not-in-family, White, Female,0
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0
 Unknown, HS-grad, Married-civ-spouse, Unknown, Husband, White, Male,1
 Private, Some-college, Never-married, Other-service, Own-child, White, Male,0
 Federal-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,1
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1
 Private, Some-college, Never-married, Sales, Own-child, White, Female,0
 State-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0
 Unknown, 11th, Never-married, Unknown, Unmarried, White, Male,0
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Unknown, 12th, Never-married, Unknown, Own-child, Asian-Pac-Islander, Female,0
 Private, Masters, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0
 Private, HS-grad, Divorced, Machine-op-inspct, Own-child, Black, Male,0
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0
 Unknown, HS-grad, Never-married, Unknown, Own-child, White, Female,0
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0
 Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0
 Local-gov, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1
 Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0
 Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0
 Unknown, 10th, Never-married, Unknown, Own-child, White, Male,0
 Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0
 Private, 12th, Divorced, Handlers-cleaners, Not-in-family, White, Male,0
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,1
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0
